topic,title_length,article_length,publish_hour,day_of_week,is_trending,engagement
Technology,45,1200,10,Mon,1,High
Technology,40,900,11,Wed,1,High
Technology,50,1100,9,Thu,1,High
Technology,38,1000,14,Tue,1,High
Technology,42,1300,10,Fri,1,High
Technology,35,800,20,Sun,0,Low
Technology,30,700,22,Sat,0,Low
Sports,32,800,18,Sat,1,Low
Sports,28,600,9,Tue,0,Low
Sports,33,750,16,Mon,1,Low
Sports,29,650,19,Wed,0,Low
Sports,31,700,21,Thu,1,Low
Sports,27,600,8,Fri,0,Low
Politics,55,1500,14,Tue,0,Low
Politics,52,1400,15,Mon,0,Low
Politics,58,1600,13,Wed,0,Low
Politics,50,1300,16,Thu,1,High
Entertainment,35,700,20,Fri,0,Low
Entertainment,33,650,19,Sat,0,Low
Entertainment,38,750,21,Sun,1,High
Entertainment,30,600,18,Mon,0,Low
Business,45,1000,10,Tue,0,Low
Business,48,1100,11,Wed,0,Low
Business,42,950,9,Thu,1,High
