topic,title_length,article_length,publish_hour,day_of_week,is_trending,engagement
Sports,32,800,18,Sat,1,High
Sports,28,650,9,Tue,1,High
Sports,33,750,16,Mon,1,High
Sports,29,700,19,Wed,1,High
Sports,31,720,21,Thu,1,High
Sports,27,600,8,Fri,0,Low
Technology,45,1200,10,Mon,0,Low
Technology,40,900,11,Wed,0,Low
Technology,50,1100,9,Thu,0,Low
Technology,38,1000,14,Tue,0,Low
Technology,42,1300,10,Fri,1,Low
Politics,55,1500,14,Tue,0,Low
Politics,52,1400,15,Mon,0,Low
Politics,50,1300,16,Thu,1,Low
Entertainment,35,700,20,Fri,0,Low
Entertainment,33,650,19,Sat,0,Low
Entertainment,38,750,21,Sun,1,Low
Business,45,1000,10,Tue,0,Low
Business,48,1100,11,Wed,0,Low
Business,42,950,9,Thu,1,Low
